zona;marca;descripcion;calibre;fleje;precio;descuento;dinamica
Nunez;-;6 x Quilmes Cerveza Clásica;-;17034.0;3.91;100;35% OFF
Nunez;-;6 x Corona Porrón 330 mL;330 ml;29934.0;9.83;100;35% OFF
Nunez;-;6 x Stella Artois Cerveza Rubia;-;27714.0;6.35;100;35% OFF
Nunez;-;2 x Miller 330 mL;330 ml;8772.16;13.3;100;Pack
Nunez;-;6 x Cerveza 1890 473 mL;473 ml;14634.0;4.65;100;10% OFF
Nunez;-;6 x Stella Artois Porrón 330 mL;330 ml;26934.0;8.85;100;35% OFF
Nunez;-;6 x Sixpack Miller Cerveza;-;23874.0;8.42;100;Pack
Nunez;-;6 x Blue Moon Belgian White 355 mL;355 ml;35334.0;16.59;100;Pack
Nunez;-;4 x Quilmes Clásica 710 mL;710 ml;16236.0;4.58;100;20% OFF
Nunez;-;3 x Miller 330 mL;330 ml;13158.24;13.3;100;Pack
Nunez;-;6 x Miller Rubia 330 mL;330 ml;26316.48;13.3;100;Pack
Nunez;-;Stella Artois Cerveza Pure Gold 1 x 330 mL;330 ml;4949.0;9.75;100;35% OFF
Nunez;-;Heineken Cerveza 0.0 Lata 330ml 1 X 330 mL;330 ml;3569.0;10.82;100;100% OFF
Nunez;-;6 x Andes Origen Oro 473 mL;473 ml;21114.0;4.84;100;35% OFF
Nunez;-;6 x Budweiser Cerveza Rubia;-;19014.0;4.36;100;35% OFF
Nunez;-;6 x Sixpack Amstel Cerveza Lager;-;19194.0;4.74;100;30% OFF
Nunez;-;6 x Quilmes Cerveza Stout;-;17394.0;3.99;100;35% OFF
Nunez;-;2 x Corona 710 mL;710 ml;15798.0;7.24;100;35% OFF
Nunez;-;6 x Sixpack Imperial Cerveza Ipa;-;22854.0;6.85;100;15% OFF
Nunez;-;6 x Sixpack Schneider Cerveza Rubia;-;18474.0;6.51;100;Pack
Nunez;-;6 x Heineken Rubia 710 mL;710 ml;41274.0;8.24;100;15% OFF
Nunez;-;6 x Imperial Lager Rubia Sabor Intenso 710 mL;710 ml;30714.0;6.13;100;15% OFF
Nunez;-;6 x Patagonia Cerveza Amber Lager;-;32814.0;7.52;100;35% OFF
Nunez;-;6 x Andes Cerveza Ipa Origen Mendocina;-;22134.0;5.07;100;35% OFF
Nunez;-;6 x Sixpack Heineken Cerveza;-;27354.0;8.2;100;15% OFF
Nunez;-;Pronto de vuelta 1 X 710 mL;710 ml;4369.0;5.23;100;15% OFF
Nunez;-;Pronto de vuelta 1 X 473 mL;473 cc;5709.0;12.07;100;100% OFF
Nunez;-;Pronto de vuelta 1 X 410 mL;410 cc;5729.0;9.09;100;35% OFF
Nunez;-;Pronto de vuelta 1 X 355 mL;355 ml;2369.0;6.68;100;100% OFF
